Unit,PO Date,PO ID,Vendor Name,Vendor Cntry,Item Category Descr,USD Amount
PSFRL,02/01/2014,0000000051,HELIX PROP CLIENT A/C RE HOBHOUSE SA,GBR,BUSINESS/ ADMINISTRATIVE SER,"220,331.90"
SWE01,02/01/2014,0000000183,FASTIGHETS AB GETINGSVARMEN 15,SWE,BUSINESS/ ADMINISTRATIVE SER,"151,689.27"
BWA01,03/01/2014,0000000458,WATER UTILITIES CORPORATION,BWA,UTILITIES,"160,000.00"
TUR01,03/01/2014,0000001408,FERHAT-FIRAT SELAMOGLU-FAZILET-IZZET SAL,TUR,BUSINESS/ ADMINISTRATIVE SER,"300,000.00"
CONS,03/01/2014,0000005419,LEE GLADWIN,GBR,FINANCIAL SERVICES,"126,942.15"
IDN01,03/01/2014,0000000564,PT. RAVINDO BANGUN PERSADA,IDN,BUSINESS/ ADMINISTRATIVE SER,"212,759.36"
EGY01,06/01/2014,0000001368,Diocese of Egypt,EGY,BUSINESS/ ADMINISTRATIVE SER,"304,930.32"
HQSMS,09/01/2014,0000025907,ENCOMPASS LLC,USA,EDUCATION/ TRAINING SERVICES,"391,225.00"
GBR01,09/01/2014,0000000276,HELIX PROP CLIENT A/C RE HOBHOUSE SA,GBR,BUSINESS/ ADMINISTRATIVE SER,"126,565.64"
NGA01,09/01/2014,0000000832,ITCC TECHNICAL LTD,NGA,BUSINESS/ ADMINISTRATIVE SER,"132,000.00"
SEN01,10/01/2014,0000001784,SOCIETE CIVILE IMMO FAALO,SEN,BUSINESS/ ADMINISTRATIVE SER,"100,996.92"
TZA01,10/01/2014,0000002698,ANDREW SHARAU DANIEL MINJA,TZA,BUSINESS/ ADMINISTRATIVE SER,"251,604.00"
SAU01,12/01/2014,0000000627,Arab Red Cross&Red Cresecent Org,SAU,BUSINESS/ ADMINISTRATIVE SER,"100,160.04"
HQSMS,13/01/2014,0000025911,Farmingtons AUTOMOTIVE Gmbh,DEU,ARMOURED VEHICLES,"180,744.83"
UKR01,14/01/2014,0000000788,KYIVSKIY PATRIARHAT,UKR,BUSINESS/ ADMINISTRATIVE SER,"148,665.05"
HQSMS,15/01/2014,0000025929,REGIE DU RHONE SA,CHE,BUSINESS/ ADMINISTRATIVE SER,"143,715.90"
HQSMS,15/01/2014,0000025923,RELTEX TARPAULINS (AFRICA) EPZ LTD,KEN,PLASTIC PRODUCTS (SHEETS & ROL,"130,300.00"
MMR01,15/01/2014,0000001457,Daw KHIN AYE,MMR,BUSINESS/ ADMINISTRATIVE SER,"276,000.00"
HQSMS,15/01/2014,0000025928,FIPOI,CHE,BUSINESS/ ADMINISTRATIVE SER,"2,831,975.20"
BRA01,15/01/2014,0000000195,VS INVESTIMENTOS E PARTICIPACOES LTDA,BRA,BUSINESS/ ADMINISTRATIVE SER,"108,464.48"
HQSMS,15/01/2014,0000025922,RELTEX TARPAULINS (AFRICA) EPZ LTD,KEN,PLASTIC PRODUCTS (SHEETS & ROL,"130,300.00"
SSD01,16/01/2014,0000001229,PACIFIC ARCHITECTS AND ENGINEERS INC.,USA,MAINTENANCE/ CONSTRUCTION SER,"2,698,329.00"
HQSMS,16/01/2014,0000025935,FONDATION DES PARKINGS,CHE,BUSINESS/ ADMINISTRATIVE SER,"248,387.82"
PSFRL,16/01/2014,0000000054,BLUEFROG LIMITED,GBR,ADVERTISING/ INFORMATION SER,"166,188.43"
EGY01,16/01/2014,0000001371,mohamed moktar mohamed medhat eldiwany,EGY,BUSINESS/ ADMINISTRATIVE SER,"114,000.00"
LBR01,16/01/2014,0000001645,ANGELA SAAB,LBR,BUSINESS/ ADMINISTRATIVE SER,"102,000.00"
TUR01,16/01/2014,0000001433,KUEHNE AND NAGEL A/S,DNK,STORAGE/PACKING/HANDLING,"288,000.00"
HQSMS,17/01/2014,0000025943,KUEHNE AND NAGEL A/S,DNK,CARGO/PASSENGER TRANSPORT,"254,400.00"
UGA01,17/01/2014,0000004142,LUBEGA CHARLES,UGA,BUSINESS/ ADMINISTRATIVE SER,"144,000.00"
