Unit,PO Date,PO ID,Vendor Name,Vendor Cntry,Item Category Descr,USD Amount
HQSMS,29-12-11,0000018857,KUEHNE AND NAGEL A/S,DNK,TRANSPORT SUPPORT,"166,920.00"
HQSMS,29-12-11,0000018856,HESCO BASTION LTD.,GBR,PERSONAL SAFETY/ PROTECTION,"1,107,187.50"
HQSMS,29-12-11,0000018851,N-R-S INTERNATIONAL - FZE,ARE,TENT/ CAMP/ OUTDOOR EQUIP/ ACC,"414,044.96"
KEN01,29-12-11,0000004577,ORAD LIMITED,KEN,SECURITY/ SAFETY SERVICES,"400,000.00"
KEN01,29-12-11,0000004576,ORAD LIMITED,KEN,SECURITY/ SAFETY SERVICES,"400,000.00"
TCD01,28-12-11,0000003163,SOCIETE DES PRODUITS PETROLIERS TCHAD,TCD,FUEL TANK,"634,756.03"
KEN01,28-12-11,0000004551,FILM AID INTERNATIONAL,KEN,BUSINESS/ ADMINISTRATIVE SER,"143,298.54"
HQSMS,28-12-11,0000018813,KUEHNE AND NAGEL A/S,DNK,TRANSPORT SUPPORT,"114,870.00"
HQSMS,28-12-11,0000018804,ALPINTER,BEL,TENT/ CAMP/ OUTDOOR EQUIP/ ACC,"177,576.00"
HQSMS,28-12-11,0000018812,TOYOTA MOTOR CORPORATION,JPN,TERRAIN VEHICLES,"1,569,762.40"
HQSMS,28-12-11,0000018802,KUEHNE AND NAGEL A/S,DNK,TRANSPORT SUPPORT,"172,670.00"
HQSMS,28-12-11,0000018803,MEDITEC - DOMISANTE,TUN,MISC MEDICAL SUPPLIES,"254,488.00"
HQSMS,28-12-11,0000018823,KOCH Anhangerwerke GmbH and Co. KG,DEU,COOKING STOVES,"371,800.00"
HQSMS,27-12-11,0000018761,KUEHNE AND NAGEL A/S,DNK,TRANSPORT SUPPORT,"236,175.00"
HQSMS,27-12-11,0000018754,KUEHNE AND NAGEL A/S,DNK,CHARTERS,"1,544,000.00"
HQSMS,27-12-11,0000018760,N-R-S INTERNATIONAL - FZE,ARE,TENT/ CAMP/ OUTDOOR EQUIP/ ACC,"5,840,213.12"
HQSMS,27-12-11,0000018764,EMERGING MARKETS COMMUNICATIONS INC,USA,SATELLITE EQUIP/ ACCESSORIES,"112,537.60"
HQSMS,27-12-11,0000018765,ALPINTER,BEL,TENT/ CAMP/ OUTDOOR EQUIP/ ACC,"392,000.00"
HQSMS,27-12-11,0000018768,ARAB MEDICAL & SCIENTIFIC ALLIANCE,JOR,MISC MEDICAL SUPPLIES,"140,586.67"
HQSMS,27-12-11,0000018771,N-R-S INTERNATIONAL - FZE,ARE,PLASTIC PRODUCTS (SHEETS & ROL,"551,963.20"
HQSMS,27-12-11,0000018777,INTERNATIONAL DISPENSARY ASSOCIATION (ID,NLD,MISC DRUGS,"255,253.66"
HQSMS,27-12-11,0000018778,PRIYANKA (INDIA) PVT LTD,IND,KITCHENWARE,"138,568.32"
HQSMS,27-12-11,0000018756,KUEHNE AND NAGEL A/S,DNK,CHARTERS,"3,000,000.00"
SDN01,23-12-11,0000004064,CARE South Sudan,SDN,BUSINESS/ ADMINISTRATIVE SER,"332,543.00"
KEN01,23-12-11,0000004534,POWERPOINT SYSTEMS (E.A) LTD,KEN,ELECTRICAL WIRES/ CABLES,"105,899.11"
SDN01,23-12-11,0000004063,MERCY CORPS,SDN,BUSINESS/ ADMINISTRATIVE SER,"139,201.00"
HQSMS,23-12-11,0000018722,TOYOTA MOTOR CORPORATION,JPN,TERRAIN VEHICLES,"112,166.88"
HQSMS,23-12-11,0000018724,IMRES,NLD,MISC MEDICAL SUPPLIES,"160,380.06"
HQSMS,23-12-11,0000018737,The UN WORLD FOOD PROGRAMME,ITA,PREFABRICATED House,"399,039.00"
SDN01,23-12-11,0000004062,NORWEGIAN RFUGEE COUNCIL,SDN,BUSINESS/ ADMINISTRATIVE SER,"185,527.00"
PAK01,22-12-11,0000003336,Islamia Educational & welfare Society,PAK,BUSINESS/ ADMINISTRATIVE SER,"274,350.21"
PAK01,22-12-11,0000003337,Women Dev. & Community Organization,PAK,BUSINESS/ ADMINISTRATIVE SER,"277,850.79"
PAK01,22-12-11,0000003338,National Rural Support Programme,PAK,BUSINESS/ ADMINISTRATIVE SER,"654,207.60"
PAK01,22-12-11,0000003340,Women Development Organization,PAK,BUSINESS/ ADMINISTRATIVE SER,"223,246.67"
PAK01,22-12-11,0000003343,The NEEDS Balochistan,PAK,BUSINESS/ ADMINISTRATIVE SER,"277,467.96"
RWA01,22-12-11,0000000759,FEST CONSTRUCTION COMPANY Ltd,RWA,HEALTHCARE SERVICES,"142,533.28"
PAK01,22-12-11,0000003345,Samaj welfare Council,PAK,BUSINESS/ ADMINISTRATIVE SER,"145,565.70"
PAK01,22-12-11,0000003348,Tameer-e-Khalq Foundation,PAK,BUSINESS/ ADMINISTRATIVE SER,"169,475.23"
PAK01,22-12-11,0000003349,Balochistan Rural Dev. Research Society,PAK,BUSINESS/ ADMINISTRATIVE SER,"279,809.90"
PAK01,22-12-11,0000003351,Society for Human Advancement,PAK,BUSINESS/ ADMINISTRATIVE SER,"278,198.82"
PAK01,22-12-11,0000003353,Council for Community Development,PAK,BUSINESS/ ADMINISTRATIVE SER,"429,173.00"
PAK01,22-12-11,0000003355,Society for Awarness Advocacy & Dvlpmnt,PAK,BUSINESS/ ADMINISTRATIVE SER,"334,667.20"
PAK01,22-12-11,0000003334,Women Welfare Organization,PAK,BUSINESS/ ADMINISTRATIVE SER,"276,232.46"
PAK01,22-12-11,0000003359,SARHAD RURAL SUPPORT PROGRAMME,PAK,BUSINESS/ ADMINISTRATIVE SER,"1,575,481.53"
PAK01,22-12-11,0000003356,Provincial Disaster Management Authority,PAK,BUSINESS/ ADMINISTRATIVE SER,"434,701.62"
